internal_player_id,official_fantasy_player_id,name,country,official_fantasy_position,official_price,qualifier_matches_available,qualifier_minutes,qualifier_starts,qualifier_goals,qualifier_assists,qualifier_clean_sheets,qualifier_cards,recent_nt_minutes,recent_nt_starts,recent_nt_role,last_nt_start_date,set_piece_role,penalty_role,corner_role,free_kick_role,usage_source,usage_source_url,usage_source_checked,usage_confidence,data_quality_flags,notes
czechia-david-doudera,1413,David Doudera,Czechia,MID,5.1,4,152,2,1,1,2,0,152,2,squad_depth,2025-11-17T19:45:00Z,,,,,uefaEuropeanQualifiersStats,data/playerNationalTeamPerformance.json,2026-05-31,low,position_conflict|low_role_confidence|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
czechia-hugo-sochurek,1417,Hugo Sochurek,Czechia,MID,4.3,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
czechia-christophe-kabongo,1423,Christophe Kabongo,Czechia,FWD,4.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
czechia-jan-kuchta,1425,Jan Kuchta,Czechia,FWD,5.5,2,17,0,0,1,2,0,17,0,unclear,,,,,,uefaEuropeanQualifiersStats,data/playerNationalTeamPerformance.json,2026-05-31,low,low_role_confidence|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
czechia-adam-hlozek,1427,Adam Hlozek,Czechia,FWD,6.5,1,28,1,1,0,1,0,28,1,rotation_starter,2025-06-06T18:45:00Z,,,,,uefaEuropeanQualifiersStats,data/playerNationalTeamPerformance.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
france-robin-risser,1428,Robin Risser,France,GK,3.5,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,No qualifier or national-team usage row found in inspected sources.
france-william-saliba,1429,William Saliba,France,DEF,5.3,3,270,3,0,0,2,0,270,3,locked_starter,2025-11-13T19:45:00Z,,,,,uefaEuropeanQualifiersStats,data/playerNationalTeamPerformance.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
france-jules-kounde,1430,Jules Koundé,France,DEF,5.4,4,331,4,0,0,2,0,331,4,rotation_starter,2025-11-13T19:45:00Z,,,,,uefaEuropeanQualifiersStats,data/playerNationalTeamPerformance.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
france-bradley-barcola,1431,Bradley Barcola,France,MID,8,4,217,3,1,1,2,0,217,3,rotation_starter,2025-11-13T19:45:00Z,,,,,uefaEuropeanQualifiersStats,data/playerNationalTeamPerformance.json,2026-05-31,high,position_conflict|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
france-jean-philippe-mateta,1432,Jean-Philippe Mateta,France,FWD,6.5,3,179,2,2,0,1,0,179,2,rotation_starter,2025-11-16T17:00:00Z,club_set_piece_context_available,club_penalty_order_2,,,uefaEuropeanQualifiersStats,data/playerNationalTeamPerformance.json,2026-05-31,high,estimated_qualifier_minutes,"Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks. Set-piece columns carry existing club-performance order hints, not official national-team set-piece duties."
ghana-paul-reverson,1433,Paul Reverson,Ghana,GK,3.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,No qualifier or national-team usage row found in inspected sources.
ghana-solomon-agbasi,1434,Solomon Agbasi,Ghana,GK,3.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,No qualifier or national-team usage row found in inspected sources.
